Date,BTC,ETH,ADA,DOT,LINK,DOGE,XLM,BNB,USDT
8/18/20,11945.01,421.95,0.13691,3.1,16.1927,0.003476,0.10807,22.9705,1.00272
8/19/20,11754.59,407.46,0.12966,2.95,16.1863,0.0034196,0.10222,22.3761,1.002408
8/20/20,11853.55,415.94,0.13413,2.9,16.0483,0.0034399,0.10728,23.0888,1.000409
8/21/20,11531.34,387.97,0.12315,2.833,13.8325,0.0033776,0.09949,22.0988,1.004549
8/22/20,11662.96,395.24,0.12515,4.4546,15.8078,0.0034331,0.10223,22.2044,1.000956
8/23/20,11648.13,390.71,0.12141,3.9779,15.1428,0.0033955,0.10293,21.8555,1.002345
8/24/20,11748.2,407.68,0.12361,4.5759,15.1419,0.0034116,0.10294,22.5953,1.001976
8/25/20,11318.42,382.93,0.11239,5.5412,14.1164,0.0032907,0.09714,21.3882,1.002365
8/26/20,11461.43,385.81,0.11435,6.0708,15.2,0.0032939,0.09804,22.1999,1.001853
8/27/20,11330.38,383.27,0.10725,5.6547,14.5234,0.0031997,0.09376,23.1127,1.002206
8/28/20,11526.91,395.11,0.10927,6.1812,15.1207,0.0032637,0.09569,23.0811,1.002036
8/29/20,11465.84,398.65,0.11623,6.1333,16.3612,0.0032749,0.09615,22.9398,1.002824
8/30/20,11711.16,428.94,0.11747,5.8912,16.4788,0.0032981,0.09821,23.6208,1.001173
8/31/20,11649.51,433.79,0.12253,6.2718,15.5772,0.0032073,0.09678,23.1477,1.003191
9/1/20,11921.97,475.4,0.12445,6.239,16.0333,0.0032411,0.09881,24.7028,1.003957
9/2/20,11388.54,439.5,0.11489,6.1374,14.7982,0.0031161,0.09228,24.7652,1.001828
9/3/20,10140.85,381.4,0.09446,5.6743,11.8895,0.0027692,0.07781,20.3592,1.005495
9/4/20,10446.25,385.26,0.10156,5.1019,12.3708,0.0028797,0.08074,20.9712,1.003686
9/5/20,10166.69,335.01,0.09,4.1456,10.6017,0.002764,0.07541,19.4698,1.000151
9/6/20,10256.2,352.8,0.0926,4.784,12.8044,0.0027859,0.07742,23.142,1.002838
9/7/20,10373.44,353.59,0.0936,4.5944,12.47,0.0028151,0.07867,22.4426,1.000537
9/8/20,10126.65,337.39,0.09101,4.2787,11.746,0.002747,0.07745,23.2837,1.001025
9/9/20,10219.2,350.85,0.09331,4.7003,12.3444,0.002779,0.07832,24.4716,1.002102
9/10/20,10336.87,367.93,0.09709,4.5796,12.4957,0.0028077,0.08117,24.5489,1.001457
9/11/20,10387.89,373.63,0.09701,4.6498,12.4406,0.0027956,0.08374,25.399,1.001517
9/12/20,10440.92,387.78,0.09771,5.1385,12.7187,0.0028141,0.08382,28.505,1.001307
9/13/20,10332.83,366.42,0.09507,5.3213,12.067,0.002783,0.08001,31.1656,0.999213
9/14/20,10671.77,377.12,0.09663,5.3555,12.1374,0.0027851,0.08021,31.2523,1.001289
9/15/20,10785.31,364.06,0.09313,5.0535,10.9314,0.0028278,0.07778,27.1181,1.002487
9/16/20,10954.01,365.11,0.09151,5.0712,10.7367,0.0028053,0.07999,27.8695,1.003444
9/17/20,10939.99,389.36,0.09408,5.3354,11.0139,0.0028078,0.08043,27.095,1.001878
9/18/20,10933.39,384.39,0.09093,5.2616,10.094,0.0027892,0.07825,27.629,0.999502
9/19/20,11080.65,385.25,0.09141,4.924,10.1209,0.0027901,0.07857,27.2035,1.002017
9/20/20,10920.28,371.04,0.08936,4.6518,9.7357,0.0027729,0.07693,26.316,1.002654
9/21/20,10417.22,340.36,0.07983,4.0691,8.7114,0.0025972,0.06996,23.1232,1.003263
9/22/20,10529.61,344.21,0.08146,4.1625,8.7401,0.0026432,0.07167,24.0468,1.001444
9/23/20,10241.46,320.72,0.07663,4.0077,7.6364,0.0025444,0.0674,22.8331,1.002652
9/24/20,10736.32,348.97,0.08254,4.3782,9.87,0.0026297,0.07043,24.5745,1.002381
9/25/20,10686.67,351.92,0.09693,4.4139,10.7279,0.0027015,0.07467,24.6924,1.002644
9/26/20,10728.6,353.92,0.09547,4.3308,10.3169,0.0026972,0.07385,26.1998,1.002689
9/27/20,10774.25,357.49,0.1013,4.2962,10.7939,0.0026954,0.07335,26.251,1.000534
9/28/20,10696.12,353.96,0.1003,4.4501,10.283,0.0026504,0.07323,26.9855,1.002695
9/29/20,10840.48,359.79,0.1011,4.4969,10.135,0.0026727,0.07407,28.8946,1.001193
9/30/20,10776.59,359.83,0.10136,4.3458,9.8694,0.002635,0.07484,29.2656,1.002569
10/1/20,10619.13,352.85,0.09804,4.3468,9.6394,0.0026246,0.07314,27.4673,0.999962
10/2/20,10570.4,345.6,0.09286,4.1282,9.2167,0.0025902,0.07096,27.3369,1.001953
10/3/20,10542.06,345.95,0.09328,4.0607,9.269,0.0025955,0.071,28.1867,1.002561
10/4/20,10666.63,352.37,0.09686,4.177,9.3922,0.002633,0.0729,28.9668,1.001763
10/5/20,10792.21,353.62,0.09738,4.1621,9.6176,0.0026182,0.07331,28.6158,1.001419
10/6/20,10599.66,340.75,0.09289,3.7465,8.7689,0.002597,0.07237,27.6812,1.001835
10/7/20,10666.39,341.58,0.09374,3.8517,8.9799,0.0025895,0.07233,27.6898,1.000901
10/8/20,10925.57,350.95,0.09632,4.1163,9.5594,0.0026098,0.07311,27.7424,1.001632
10/9/20,11050.64,365.02,0.10129,4.2541,10.3959,0.0026556,0.07502,28.4076,1.000884
10/10/20,11293.22,370.52,0.10493,4.2606,10.5198,0.0026621,0.0773,28.4414,1.000884
10/11/20,11369.02,374.16,0.10648,4.245,10.8515,0.0026701,0.07713,28.5271,1.000734
10/12/20,11528.25,386.51,0.10945,4.3075,11.4259,0.002667,0.07761,30.6503,1.001007
10/13/20,11420.56,381.04,0.10925,4.2473,11.0016,0.0026385,0.07635,30.7256,1.001007
10/14/20,11417.89,378.69,0.10703,4.1829,10.8896,0.002639,0.07398,30.838,1.001007
10/15/20,11505.12,377.64,0.10666,4.099,10.7483,0.0025953,0.07408,31.3256,1.000796
10/16/20,11319.32,365.5,0.10414,3.9106,10.5877,0.002604,0.07909,30.0516,1.001047
10/17/20,11360.2,368.32,0.10598,3.9663,10.6267,0.0025834,0.08152,30.2414,1.000697
10/18/20,11503.14,378.11,0.10735,4.1068,10.9409,0.0025874,0.07942,30.6593,1.000784
10/19/20,11751.47,379.3,0.10859,3.986,10.9147,0.0025921,0.0852,29.9107,1.000853
10/20/20,11909.99,368.52,0.10238,3.9034,9.8589,0.0025944,0.08075,28.8227,1.000985
10/21/20,12780.96,390.38,0.10589,4.1352,10.7863,0.002623,0.08358,29.7329,1.001834
10/22/20,12968.52,413.98,0.11077,4.2683,11.9539,0.002646,0.08552,30.6396,1.001091
10/23/20,12923.07,409.11,0.10805,4.2633,12.1586,0.0026423,0.08368,30.6377,1.000657
10/24/20,13111.73,412.14,0.10797,4.3536,12.7001,0.0026365,0.08561,30.6639,1.000909
10/25/20,13028.83,405.86,0.10639,4.331,12.1481,0.0026528,0.08304,30.128,1.000721
10/26/20,13052.19,392.52,0.10306,4.7031,11.7096,0.002665,0.08104,31.0467,1.000958
10/27/20,13636.17,403.45,0.10256,4.6721,11.9224,0.0026702,0.08183,31.4826,1.000223
10/28/20,13266.4,388.23,0.09869,4.357,11.4403,0.0025801,0.07832,30.3338,1.00034
10/29/20,13455.7,387.13,0.09531,4.0605,11.2772,0.0025733,0.0775,29.8702,1.000349
10/30/20,13560.1,382.49,0.0933,4.0845,11.09,0.0025833,0.07669,28.4909,1.000904
10/31/20,13791,386.46,0.093,4.1854,11.2277,0.0025666,0.07775,28.5058,1.0002
11/1/20,13761.5,396.67,0.09827,4.2211,11.5722,0.0025745,0.07861,28.5318,1.000379
11/2/20,13549.37,383.02,0.09221,4.0316,10.7814,0.0025162,0.07557,27.7983,1.000523
11/3/20,14023.53,387.88,0.09357,4.0362,10.3911,0.0025141,0.07542,26.8638,1.000552
11/4/20,14144.01,402.49,0.0955,4.0969,10.4713,0.002546,0.07456,26.96,1.001079
11/5/20,15590.02,416.69,0.09752,4.2229,10.9794,0.0026347,0.08039,27.6875,1.00042
11/6/20,15579.92,455.91,0.1091,4.5826,12.1687,0.002757,0.08388,29.0435,1.000296
11/7/20,14818.3,435.21,0.10128,4.2341,11.7638,0.00267,0.07952,27.7651,1.001576
11/8/20,15475.1,454.3,0.10655,4.3736,12.71,0.002707,0.0815,28.4101,1.000846
11/9/20,15328.41,444.32,0.10561,4.3463,12.5107,0.002672,0.0797,28.0941,1.000653
11/10/20,15297.21,450.34,0.1059,4.4231,13.0017,0.002761,0.07967,28.2188,1.001127
11/11/20,15684.24,463.09,0.10599,4.4461,12.753,0.002758,0.08039,28.016,1.000985
11/12/20,16291.86,462.39,0.1046,4.4042,12.4038,0.0027788,0.08069,27.6874,1.000509
11/13/20,16320.7,476.43,0.10629,4.5425,12.8687,0.0028114,0.08249,28.1974,1.000345
11/14/20,16070.45,460.89,0.10411,4.4637,12.5574,0.0027689,0.08094,27.9311,1.000288
11/15/20,15957,448.08,0.10046,4.3664,12.1192,0.0027718,0.08009,27.6786,1.000647
11/16/20,16713.57,460.55,0.10387,4.4983,12.6223,0.00289,0.0825,27.9451,1.000412
11/17/20,17659.38,482.15,0.10947,4.8569,13.3944,0.0029398,0.0865,28.5552,1.00084
11/18/20,17776.12,478.41,0.10658,4.6797,13.5598,0.0029085,0.08365,28.0931,1.000399
11/19/20,17802.82,471.25,0.1059,4.7567,13.6187,0.0029068,0.08401,28.1387,1.000781
11/20/20,18655.67,510.12,0.11828,5.23,14.0933,0.002987,0.08853,28.9715,1.000427
11/21/20,18703.8,552.35,0.13334,5.7824,15.4511,0.0035132,0.109,30.5161,0.998874
11/22/20,18414.43,560.03,0.14599,5.524,14.5098,0.0033415,0.10426,30.0226,0.999203
11/23/20,18368,608.58,0.15445,5.9093,15.2746,0.0036845,0.13231,30.995,1.000092
11/24/20,19160.01,604.97,0.16721,5.7334,15.6703,0.0042592,0.19571,33.9407,0.999808
11/25/20,18719.11,569.5,0.15473,5.3018,14.2016,0.0037081,0.19295,31.2953,1.000053
11/26/20,17149.47,519.83,0.13843,4.809,12.603,0.0032492,0.16835,28.2356,1.002035
11/27/20,17139.52,518.68,0.14178,4.8151,12.4989,0.0032752,0.20699,28.4606,1.0012
11/28/20,17719.85,537.52,0.16489,4.8939,13.0853,0.0033945,0.20021,29.1766,1.001001
11/29/20,18184.99,576.3,0.16663,5.192,13.38,0.0034365,0.19423,30.1045,1.00089
11/30/20,19695.87,616.66,0.17204,5.3767,14.2677,0.003561,0.20295,31.4935,1.000377
12/1/20,18764.96,585.26,0.15562,5.0806,13.3461,0.0033211,0.18382,30.1996,1.001323
12/2/20,19204.09,596.89,0.15845,5.4645,13.9799,0.0033624,0.18514,30.2875,1.000671
12/3/20,19421.9,615.85,0.16398,5.3997,13.9749,0.003429,0.18436,30.7065,1.00084
12/4/20,18650.52,567.24,0.14781,5,12.68,0.003283,0.16154,29.0231,1.000237
12/5/20,19147.66,596.8,0.15993,5.1806,13.1748,0.0033917,0.1717,29.728,1.000545
12/6/20,19359.4,601.54,0.15873,5.1268,13.5057,0.0033857,0.17593,29.5026,1.001203
12/7/20,19166.9,591.28,0.15401,5.0569,13.0704,0.003336,0.16804,29.37,1.000571
12/8/20,18324.11,554.94,0.1412,4.7399,12.1356,0.0031723,0.15263,27.6705,0.999706
12/9/20,18541.28,573.09,0.14796,4.8728,12.6212,0.0031562,0.17206,28.1452,1.000384
12/10/20,18254.63,558.99,0.14188,4.8003,11.9172,0.0031043,0.16073,27.6926,1.000253
12/11/20,18036.53,544.43,0.13926,4.612,11.6335,0.0030732,0.15077,27.3419,1.000458
12/12/20,18808.69,568.04,0.14438,4.7385,12.2259,0.0031609,0.15888,28.1603,1.000464
12/13/20,19174.99,590.7,0.15406,4.8957,12.9392,0.00326,0.1761,29.1571,0.999952
12/14/20,19273.14,586.29,0.15877,4.8969,12.8502,0.003226,0.1702,30.0338,0.999932
12/15/20,19426.43,588.64,0.15381,5.2391,12.6818,0.0032078,0.1661,29.5053,1.000917
12/16/20,21335.52,637.18,0.16814,5.3647,13.4852,0.0034183,0.19321,30.5577,0.999979
12/17/20,22797.16,642.7,0.16336,5.3455,13.444,0.003722,0.18612,30.2255,0.999838
12/18/20,23107.39,653.85,0.16502,5.3549,13.5001,0.0038675,0.18525,30.9882,1.000868
12/19/20,23821.61,658.03,0.16433,5.3358,13.4747,0.0039291,0.18139,33.3167,1.000499
12/20/20,23455.52,638.18,0.16201,5.1868,13.0604,0.0046381,0.17666,34.3148,0.999643
12/21/20,22719.71,607.58,0.15278,4.8702,12.3049,0.0047784,0.16519,32.05,0.999827
12/22/20,23810.79,636.45,0.15646,5.155,12.7842,0.0045159,0.16212,33.5151,0.999641
12/23/20,23232.76,585.56,0.13635,4.7149,10.9736,0.0037449,0.12661,31.1843,0.999426
12/24/20,23729.2,612.31,0.15304,5.1116,11.5724,0.0045731,0.15818,32.4895,0.999931
12/25/20,24712.47,626.82,0.15761,5.2099,11.5543,0.0045549,0.15238,33.1996,1.000168
12/26/20,26493.39,637.44,0.15839,5.1924,10.9809,0.0045131,0.14673,33.6361,0.998481
12/27/20,26281.66,685.11,0.15467,5.1455,12.1541,0.004547,0.14527,33.674,0.998854
12/28/20,27079.41,730.41,0.17627,6.5982,12.6081,0.0046015,0.14448,35.951,0.998603
12/29/20,27385,732,0.19067,7.5402,11.7786,0.0045012,0.13831,39.0667,0.99859
12/30/20,28875.54,752.17,0.18389,7.2282,11.2435,0.0046251,0.13175,38.1558,1.000275
12/31/20,28923.63,736.42,0.18134,9.2619,11.2364,0.0046709,0.12762,37.3588,1.000598
1/1/21,29331.69,728.91,0.17509,8.2776,11.8477,0.00568,0.13207,37.7762,1.001916
1/2/21,32178.33,774.56,0.17742,9.2037,12.2215,0.0105264,0.12751,38.2331,1.0006
1/3/21,33000.05,978.28,0.20615,10.1307,13.6814,0.0098209,0.13653,41.2575,1.000514
1/4/21,31988.71,1041.43,0.22528,9.5126,13.5935,0.0097613,0.16404,41.1333,1.000128
1/5/21,33949.53,1099.56,0.25873,9.7084,14.5162,0.00997,0.19291,41.8219,1.002202
1/6/21,36769.36,1208.42,0.33309,10.0679,17.2322,0.01042,0.33938,42.2417,1.001528
1/7/21,39432.28,1224.87,0.29928,9.6439,15.9628,0.0097439,0.31124,43.5728,1.0004
